repository	revision
imazen/zenjpeg	2c7f67f99b4c9b2059fb8efb31919c8081c18d38
imazen/zenjxl-decoder	17dc3030732da1d53bdfdbf3e6585843976c2f3f
imazen/zenmetrics	168bd59be8a483acee29a1c1fea34997d687ba1f
imazen/zensim	902aa68f7782f1ac09182135e3c600c8c183d8b6
imazen/butteraugli	eab74f266fafbe3bdfe953c946af6c77bf1a8462
imazen/zenanalyze	b102fa5f3480f0c3911fa85a8a6ad23c64936f18
imazen/zencodec	124b4486d81bfd638bdb2a313c82ec35b75c42b3
imazen/zenpng	fdaa8de687ccdfe0647735502b7f3ed4f22690d3
imazen/zenwebp	018753cf6df5b5bebb0741329b1d9ca30844c43e
imazen/zenavif	7b058bb825f64a05ed97ac057178c80d27811853
imazen/zenjxl	4a2c021b4589b5d0465006c48568f6b520128525
imazen/ultrahdr	633f71e9d0c8fc82cc29b58ffaa92d367d82f9f9
imazen/heic	c45113e442c485bb9b4ea37ad53e4d8e82132205
imazen/zentone	36e81fbfd49e3157489b41da3d7aff7f13222c52
imazen/fast-ssim2	c3867954c7bec8a761951df9256354b305fd0cff
lilith/dssim	394dc4df30a9acebe644e68f7dbde3ff8126cfb3
