# cjxl v0.12.0 lossless, generated 2026-02-20
corpus,image,width,height,effort,size_bytes,pixel_sha256,enc_wall_s,enc_user_s,enc_sys_s
cid22,1025469,512,512,5,241843,93ae435a7952a8dd262138bcaa5d8c2520347c008be13978f84189609513ecf4,0.09,0.10,0.05
cid22,1025469,512,512,6,238602,93ae435a7952a8dd262138bcaa5d8c2520347c008be13978f84189609513ecf4,0.11,0.15,0.03
cid22,1025469,512,512,7,235145,93ae435a7952a8dd262138bcaa5d8c2520347c008be13978f84189609513ecf4,0.17,0.19,0.05
cid22,1025469,512,512,8,234105,93ae435a7952a8dd262138bcaa5d8c2520347c008be13978f84189609513ecf4,0.78,0.78,0.11
cid22,1025469,512,512,9,232578,93ae435a7952a8dd262138bcaa5d8c2520347c008be13978f84189609513ecf4,0.97,1.05,0.07
cid22,1044329,512,512,5,362104,906d3c250b506dd7df7c10a656d219d512cb444752192df7e39f35a2f57f31c3,0.11,0.10,0.08
cid22,1044329,512,512,6,355963,906d3c250b506dd7df7c10a656d219d512cb444752192df7e39f35a2f57f31c3,0.15,0.13,0.10
cid22,1044329,512,512,7,344651,906d3c250b506dd7df7c10a656d219d512cb444752192df7e39f35a2f57f31c3,0.21,0.21,0.07
cid22,1044329,512,512,8,335933,906d3c250b506dd7df7c10a656d219d512cb444752192df7e39f35a2f57f31c3,0.67,0.71,0.07
cid22,1044329,512,512,9,334202,906d3c250b506dd7df7c10a656d219d512cb444752192df7e39f35a2f57f31c3,0.95,1.06,0.05
cid22,1189261,512,512,5,324907,c7d2a571de4b74fce880127a3f30e6964dd9cc6502159d8e8a7e38abebad1a18,0.11,0.09,0.08
cid22,1189261,512,512,6,323912,c7d2a571de4b74fce880127a3f30e6964dd9cc6502159d8e8a7e38abebad1a18,0.15,0.14,0.08
cid22,1189261,512,512,7,308261,c7d2a571de4b74fce880127a3f30e6964dd9cc6502159d8e8a7e38abebad1a18,0.21,0.20,0.08
cid22,1189261,512,512,8,306062,c7d2a571de4b74fce880127a3f30e6964dd9cc6502159d8e8a7e38abebad1a18,0.61,0.67,0.04
cid22,1189261,512,512,9,304290,c7d2a571de4b74fce880127a3f30e6964dd9cc6502159d8e8a7e38abebad1a18,0.87,0.95,0.08
cid22,1279330,512,512,5,214841,f6b55bf046d0364410afb9ce0cfac17a1bc60e50ba7856edb791af19835585e6,0.10,0.11,0.07
cid22,1279330,512,512,6,211723,f6b55bf046d0364410afb9ce0cfac17a1bc60e50ba7856edb791af19835585e6,0.13,0.11,0.09
cid22,1279330,512,512,7,208550,f6b55bf046d0364410afb9ce0cfac17a1bc60e50ba7856edb791af19835585e6,0.19,0.19,0.08
cid22,1279330,512,512,8,205123,f6b55bf046d0364410afb9ce0cfac17a1bc60e50ba7856edb791af19835585e6,0.68,0.70,0.08
cid22,1279330,512,512,9,203605,f6b55bf046d0364410afb9ce0cfac17a1bc60e50ba7856edb791af19835585e6,0.90,1.00,0.05
cid22,1418519,512,512,5,182224,26b4af84c1c81194f36cae6454dbab912632b4f2378698eeb523d977258720c2,0.10,0.07,0.09
cid22,1418519,512,512,6,175214,26b4af84c1c81194f36cae6454dbab912632b4f2378698eeb523d977258720c2,0.11,0.12,0.06
cid22,1418519,512,512,7,172131,26b4af84c1c81194f36cae6454dbab912632b4f2378698eeb523d977258720c2,0.16,0.11,0.13
cid22,1418519,512,512,8,169943,26b4af84c1c81194f36cae6454dbab912632b4f2378698eeb523d977258720c2,0.68,0.73,0.04
cid22,1418519,512,512,9,170001,26b4af84c1c81194f36cae6454dbab912632b4f2378698eeb523d977258720c2,0.91,0.97,0.08
cid22,1420710,512,512,5,414654,828648e57d4ddb1f1da0c88bf542a81dc02a0ecaf0195c1ca2c9a285e23b9f70,0.10,0.10,0.06
cid22,1420710,512,512,6,414044,828648e57d4ddb1f1da0c88bf542a81dc02a0ecaf0195c1ca2c9a285e23b9f70,0.13,0.12,0.07
cid22,1420710,512,512,7,412382,828648e57d4ddb1f1da0c88bf542a81dc02a0ecaf0195c1ca2c9a285e23b9f70,0.20,0.16,0.11
cid22,1420710,512,512,8,410446,828648e57d4ddb1f1da0c88bf542a81dc02a0ecaf0195c1ca2c9a285e23b9f70,0.49,0.54,0.05
cid22,1420710,512,512,9,409095,828648e57d4ddb1f1da0c88bf542a81dc02a0ecaf0195c1ca2c9a285e23b9f70,0.69,0.74,0.10
cid22,1475938,512,512,5,187282,243567d34ad405a903cc3a26a721a9c72a26831315fa97e8227d14f010e100f5,0.10,0.11,0.05
cid22,1475938,512,512,6,184165,243567d34ad405a903cc3a26a721a9c72a26831315fa97e8227d14f010e100f5,0.12,0.10,0.08
