# cjxl v0.12.0, generated 2026-02-18
corpus,image,width,height,distance,effort,size_bytes,ssimulacra2,butteraugli,enc_wall_s,enc_user_s,enc_sys_s
clic2025,02809272,1024,1024,0.25,5,597048,93.19136083,0.5426418781,0.08,0.16,0.38
clic2025,02809272,1024,1024,0.25,6,595755,93.11112746,0.5414347649,0.09,0.33,0.32
clic2025,02809272,1024,1024,0.25,7,599115,93.39011427,0.5414224267,0.18,0.41,0.34
clic2025,02809272,1024,1024,0.25,8,601834,93.43373885,0.3828305006,1.07,1.14,0.66
clic2025,02809272,1024,1024,0.5,5,407541,91.11443210,0.8011679053,0.07,0.20,0.27
clic2025,02809272,1024,1024,0.5,6,406013,91.22032966,0.7980594635,0.08,0.31,0.32
clic2025,02809272,1024,1024,0.5,7,408093,91.34886497,0.7992131710,0.17,0.45,0.29
clic2025,02809272,1024,1024,0.5,8,402322,91.47643389,0.6997758150,1.05,1.16,0.64
clic2025,02809272,1024,1024,1.0,5,255702,87.80371406,1.3407808542,0.07,0.15,0.32
clic2025,02809272,1024,1024,1.0,6,255336,87.72659162,1.3183852434,0.11,0.32,0.46
clic2025,02809272,1024,1024,1.0,7,256082,87.95448321,1.3171944618,0.19,0.40,0.45
clic2025,02809272,1024,1024,1.0,8,246811,87.69846557,1.2001482248,1.03,1.10,0.73
clic2025,02809272,1024,1024,1.5,5,195367,84.38331103,2.2662408352,0.07,0.16,0.34
clic2025,02809272,1024,1024,1.5,6,195636,84.41347101,2.2859065533,0.11,0.28,0.48
clic2025,02809272,1024,1024,1.5,7,195810,84.50209806,2.2857744694,0.19,0.43,0.44
clic2025,02809272,1024,1024,1.5,8,186401,84.23657594,1.7752786875,1.06,1.24,0.65
clic2025,02809272,1024,1024,2.0,5,160284,81.20766573,2.2084450722,0.07,0.20,0.26
clic2025,02809272,1024,1024,2.0,6,160773,81.24543313,2.3229095936,0.10,0.33,0.39
clic2025,02809272,1024,1024,2.0,7,161056,81.37655465,2.3266017437,0.19,0.45,0.40
clic2025,02809272,1024,1024,2.0,8,152197,80.59218667,2.2837066650,1.04,1.10,0.69
clic2025,02809272,1024,1024,2.5,5,136109,78.03656885,2.7116041183,0.07,0.23,0.24
clic2025,02809272,1024,1024,2.5,6,137408,78.25839943,2.8011722565,0.10,0.31,0.38
clic2025,02809272,1024,1024,2.5,7,137619,78.36430352,2.7961239815,0.20,0.41,0.44
clic2025,02809272,1024,1024,2.5,8,128223,77.23269979,2.7159814835,1.04,1.24,0.56
clic2025,02809272,1024,1024,3.0,5,119736,75.47886627,3.1515259743,0.06,0.15,0.32
clic2025,02809272,1024,1024,3.0,6,121736,75.94685312,3.0943737030,0.10,0.40,0.33
clic2025,02809272,1024,1024,3.0,7,122387,76.02924332,3.0862786770,0.23,0.47,0.57
clic2025,02809272,1024,1024,3.0,8,115039,74.49297872,3.2281806469,1.11,1.25,0.81
clic2025,02809272,1024,1024,4.0,5,95239,68.69901325,4.1462106705,0.07,0.28,0.18
clic2025,02809272,1024,1024,4.0,6,98419,70.25642641,3.7338690758,0.10,0.32,0.40
clic2025,02809272,1024,1024,4.0,7,99227,70.42098762,3.8040981293,0.22,0.61,0.44
clic2025,02809272,1024,1024,4.0,8,91784,68.40128128,4.5681138039,1.10,1.23,0.81
clic2025,02809272,1024,1024,5.0,5,78606,63.00350153,5.2327899933,0.06,0.16,0.33
clic2025,02809272,1024,1024,5.0,6,80193,65.27192444,4.6605739594,0.09,0.31,0.36
clic2025,02809272,1024,1024,5.0,7,80697,65.15129917,4.6524586678,0.20,0.45,0.50
clic2025,02809272,1024,1024,5.0,8,74128,62.43453358,5.0775771141,1.07,1.19,0.83
clic2025,0369d229,1024,1024,0.25,5,492762,92.88733647,0.5581737161,0.07,0.19,0.31
clic2025,0369d229,1024,1024,0.25,6,492196,92.84531840,0.5581737161,0.08,0.33,0.28
clic2025,0369d229,1024,1024,0.25,7,494949,92.97217469,0.5588632226,0.08,0.37,0.32
clic2025,0369d229,1024,1024,0.25,8,548464,93.41915217,0.4179408252,0.98,1.11,0.68
clic2025,0369d229,1024,1024,0.5,5,303876,90.15844221,0.9417979717,0.07,0.24,0.22
clic2025,0369d229,1024,1024,0.5,6,303232,90.16867733,0.9405448437,0.07,0.27,0.36
clic2025,0369d229,1024,1024,0.5,7,304508,90.27516832,0.9419054389,0.08,0.49,0.17
clic2025,0369d229,1024,1024,0.5,8,334239,90.87585995,0.7462897897,1.01,1.11,0.67
clic2025,0369d229,1024,1024,1.0,5,160504,84.26854781,1.5525076389,0.07,0.18,0.28
clic2025,0369d229,1024,1024,1.0,6,161757,84.11180142,1.5687205791,0.10,0.38,0.37
clic2025,0369d229,1024,1024,1.0,7,161907,84.32105474,1.5674366951,0.11,0.34,0.39
clic2025,0369d229,1024,1024,1.0,8,167005,84.98033562,1.4550342560,1.01,1.19,0.63
clic2025,0369d229,1024,1024,1.5,5,106305,78.64599321,2.3545014858,0.07,0.16,0.29
