corpus	target_cvvdp	n	median_distance	p25_distance	p75_distance
CID22	9.500	6	4.5726	4.0750	4.7746
CID22	9.600	14	4.3587	3.9882	4.6144
CID22	9.700	30	4.1422	3.7203	4.5160
CID22	9.800	40	3.3966	3.0415	3.9309
CID22	9.850	41	2.9546	2.5334	3.2391
CID22	9.900	41	2.2498	1.8944	2.5319
CID22	9.930	41	1.7902	1.5064	2.0776
CID22	9.950	41	1.4904	1.2286	1.7214
CID22	9.970	41	1.0856	0.9436	1.2930
CID22	9.980	39	0.8913	0.7656	1.0403
CID22	9.990	37	0.6714	0.6009	0.7653
GB82-SC	9.900	1	4.9695	4.9695	4.9695
GB82-SC	9.930	1	4.2296	4.2296	4.2296
GB82-SC	9.950	5	4.0703	3.4417	4.2326
GB82-SC	9.970	8	2.1029	1.6332	3.0582
GB82-SC	9.980	9	1.1813	0.9914	1.2820
GB82-SC	9.990	10	0.8578	0.7492	2.3588
W44-S1	9.700	1	4.9020	4.9020	4.9020
W44-S1	9.800	2	3.8694	3.7455	3.9934
W44-S1	9.850	2	3.0386	3.0277	3.0495
W44-S1	9.900	2	2.2925	2.2141	2.3710
W44-S1	9.930	2	1.8606	1.7625	1.9587
W44-S1	9.950	2	1.5579	1.4739	1.6418
W44-S1	9.970	2	1.1902	1.1170	1.2635
W44-S1	9.980	2	0.9863	0.9231	1.0495
W44-S1	9.990	2	0.7380	0.6999	0.7761
_DEFAULT	9.500	1	4.5726	NA	NA
_DEFAULT	9.600	1	4.3587	NA	NA
_DEFAULT	9.700	2	4.5221	NA	NA
_DEFAULT	9.800	2	3.6330	NA	NA
_DEFAULT	9.850	2	2.9966	NA	NA
_DEFAULT	9.900	3	2.2925	NA	NA
_DEFAULT	9.930	3	1.8606	NA	NA
_DEFAULT	9.950	3	1.5579	NA	NA
_DEFAULT	9.970	3	1.1902	NA	NA
_DEFAULT	9.980	3	0.9863	NA	NA
_DEFAULT	9.990	3	0.7380	NA	NA
