corpus	metric	backend	cells_scored	pareto_wins	pareto_win_pct
CID22	butter_cpu	B	861	861	100.00
CID22	butter_cpu	B_GPU	861	861	100.00
CID22	butter_cpu	C_GPU	861	860	99.88
CID22	butter_cpu	C_CPU	861	860	99.88
CID22	butter_gpu	B	861	861	100.00
CID22	butter_gpu	B_GPU	861	861	100.00
CID22	butter_gpu	C_GPU	861	859	99.77
CID22	butter_gpu	C_CPU	861	859	99.77
CID22	cvvdp_gpu	B	861	859	99.77
CID22	cvvdp_gpu	B_GPU	861	859	99.77
CID22	cvvdp_gpu	C_GPU	861	859	99.77
CID22	cvvdp_gpu	C_CPU	861	860	99.88
CID22	ssim2	B	861	861	100.00
CID22	ssim2	B_GPU	861	861	100.00
CID22	ssim2	C_GPU	861	861	100.00
CID22	ssim2	C_CPU	861	861	100.00
GB82-SC	butter_cpu	B	228	228	100.00
GB82-SC	butter_cpu	B_GPU	228	228	100.00
GB82-SC	butter_cpu	C_GPU	228	210	92.11
GB82-SC	butter_cpu	C_CPU	228	207	90.79
GB82-SC	butter_gpu	B	228	228	100.00
GB82-SC	butter_gpu	B_GPU	228	228	100.00
GB82-SC	butter_gpu	C_GPU	228	209	91.67
GB82-SC	butter_gpu	C_CPU	228	208	91.23
GB82-SC	cvvdp_gpu	B	228	228	100.00
GB82-SC	cvvdp_gpu	B_GPU	228	227	99.56
GB82-SC	cvvdp_gpu	C_GPU	228	204	89.47
GB82-SC	cvvdp_gpu	C_CPU	228	201	88.16
GB82-SC	ssim2	B	228	228	100.00
GB82-SC	ssim2	B_GPU	228	228	100.00
GB82-SC	ssim2	C_GPU	228	220	96.49
GB82-SC	ssim2	C_CPU	228	219	96.05
W44-S1	butter_cpu	B	42	42	100.00
W44-S1	butter_cpu	B_GPU	42	42	100.00
W44-S1	butter_cpu	C_GPU	42	42	100.00
W44-S1	butter_cpu	C_CPU	42	42	100.00
W44-S1	butter_gpu	B	42	42	100.00
W44-S1	butter_gpu	B_GPU	42	42	100.00
W44-S1	butter_gpu	C_GPU	42	42	100.00
W44-S1	butter_gpu	C_CPU	42	42	100.00
W44-S1	cvvdp_gpu	B	42	42	100.00
W44-S1	cvvdp_gpu	B_GPU	42	42	100.00
W44-S1	cvvdp_gpu	C_GPU	42	42	100.00
W44-S1	cvvdp_gpu	C_CPU	42	42	100.00
W44-S1	ssim2	B	42	42	100.00
W44-S1	ssim2	B_GPU	42	42	100.00
W44-S1	ssim2	C_GPU	42	42	100.00
W44-S1	ssim2	C_CPU	42	42	100.00

# Per-backend coverage + perf
backend	cells_populated	wall_p50_ms	wall_p95_ms	wall_mean_ms	total_bytes	avg_bytes
B	1134	75.68	1023.48	262.12	59929258	52847.7
B_GPU	1134	65.08	896.76	215.95	59929258	52847.7
C_GPU	1134	61.39	893.91	218.85	88144761	77729.1
C_CPU	1134	73.00	1340.15	399.65	88148604	77732.5

# Per-distance per-backend mean bytes (cvvdp tighter target => larger files)
corpus	distance	backend	n	mean_bytes
CID22	0.5	B	123	82080.7
CID22	0.5	B_GPU	123	82080.7
CID22	0.5	C_CPU	123	124401.6
CID22	0.5	C_GPU	123	124401.6
CID22	1.0	B	123	50590.9
CID22	1.0	B_GPU	123	50590.9
CID22	1.0	C_CPU	123	81779.7
CID22	1.0	C_GPU	123	81779.7
CID22	1.5	B	123	38228.0
CID22	1.5	B_GPU	123	38228.0
CID22	1.5	C_CPU	123	63726.1
CID22	1.5	C_GPU	123	63726.1
CID22	2.0	B	123	30874.1
CID22	2.0	B_GPU	123	30874.1
CID22	2.0	C_CPU	123	52886.6
CID22	2.0	C_GPU	123	52886.6
CID22	3.0	B	123	22306.4
CID22	3.0	B_GPU	123	22306.4
CID22	3.0	C_CPU	123	40169.9
CID22	3.0	C_GPU	123	40169.9
CID22	4.0	B	123	17821.3
CID22	4.0	B_GPU	123	17821.3
CID22	4.0	C_CPU	123	33054.4
CID22	4.0	C_GPU	123	33054.4
CID22	5.0	B	123	14796.8
CID22	5.0	B_GPU	123	14796.8
CID22	5.0	C_CPU	123	28029.5
CID22	5.0	C_GPU	123	28029.5
GB82-SC	0.5	B	33	152386.1
GB82-SC	0.5	B_GPU	33	152386.1
GB82-SC	0.5	C_CPU	33	200322.9
GB82-SC	0.5	C_GPU	33	200324.8
GB82-SC	1.0	B	33	133440.5
GB82-SC	1.0	B_GPU	33	133440.5
GB82-SC	1.0	C_CPU	33	178674.8
GB82-SC	1.0	C_GPU	33	178558.1
GB82-SC	1.5	B	33	113181.6
GB82-SC	1.5	B_GPU	33	113181.6
GB82-SC	1.5	C_CPU	33	152808.0
GB82-SC	1.5	C_GPU	33	152808.3
GB82-SC	2.0	B	33	131551.8
GB82-SC	2.0	B_GPU	33	131551.8
GB82-SC	2.0	C_CPU	33	157366.0
GB82-SC	2.0	C_GPU	33	157364.4
GB82-SC	3.0	B	33	111161.3
GB82-SC	3.0	B_GPU	33	111161.3
GB82-SC	3.0	C_CPU	33	135027.0
GB82-SC	3.0	C_GPU	33	135027.0
GB82-SC	4.0	B	33	90121.8
GB82-SC	4.0	B_GPU	33	90121.8
GB82-SC	4.0	C_CPU	33	99300.2
GB82-SC	4.0	C_GPU	33	99299.9
GB82-SC	5.0	B	33	96334.6
GB82-SC	5.0	B_GPU	33	96334.6
GB82-SC	5.0	C_CPU	33	111543.7
GB82-SC	5.0	C_GPU	33	111543.7
W44-S1	0.5	B	6	64919.8
W44-S1	0.5	B_GPU	6	64919.8
W44-S1	0.5	C_CPU	6	100973.2
W44-S1	0.5	C_GPU	6	100973.2
W44-S1	1.0	B	6	33242.7
W44-S1	1.0	B_GPU	6	33242.7
W44-S1	1.0	C_CPU	6	59225.7
W44-S1	1.0	C_GPU	6	59225.7
W44-S1	1.5	B	6	23333.5
W44-S1	1.5	B_GPU	6	23333.5
W44-S1	1.5	C_CPU	6	44463.3
W44-S1	1.5	C_GPU	6	44463.3
W44-S1	2.0	B	6	18137.8
W44-S1	2.0	B_GPU	6	18137.8
W44-S1	2.0	C_CPU	6	36552.0
W44-S1	2.0	C_GPU	6	36552.0
W44-S1	3.0	B	6	12547.3
W44-S1	3.0	B_GPU	6	12547.3
W44-S1	3.0	C_CPU	6	26356.5
W44-S1	3.0	C_GPU	6	26356.5
W44-S1	4.0	B	6	10169.5
W44-S1	4.0	B_GPU	6	10169.5
W44-S1	4.0	C_CPU	6	20882.0
W44-S1	4.0	C_GPU	6	20882.0
W44-S1	5.0	B	6	8570.3
W44-S1	5.0	B_GPU	6	8570.3
W44-S1	5.0	C_CPU	6	17268.3
W44-S1	5.0	C_GPU	6	17268.3

# Rank disagreements: cells where butter_cpu winner != cvvdp_gpu winner
image	corpus	effort	distance	butter_cpu_winners	cvvdp_gpu_winners
