name	bits	exp_bits	in_f32_bits	pack_rc	packed	unpack_rc	out_f32_bits
zero	32	8	0x00000000	0	0x00000000	0	0x00000000
neg_zero	32	8	0x80000000	0	0x80000000	0	0x80000000
one	32	8	0x3f800000	0	0x3f800000	0	0x3f800000
neg_one	32	8	0xbf800000	0	0xbf800000	0	0xbf800000
two	32	8	0x40000000	0	0x40000000	0	0x40000000
half	32	8	0x3f000000	0	0x3f000000	0	0x3f000000
f16_max_65504	32	8	0x477fe000	0	0x477fe000	0	0x477fe000
f16_min_normal	32	8	0x38800000	0	0x38800000	0	0x38800000
f16_max_subnormal	32	8	0x387fc000	0	0x387fc000	0	0x387fc000
f16_min_subnormal	32	8	0x33800000	0	0x33800000	0	0x33800000
f16_subnormal_mid	32	8	0x35000000	0	0x35000000	0	0x35000000
inf	32	8	0x7f800000	0	0x7f800000	0	0x7f800000
neg_inf	32	8	0xff800000	0	0xff800000	0	0xff800000
nan_quiet	32	8	0x7fc00000	0	0x7fc00000	0	0x7fc00000
nan_payload	32	8	0x7f800001	0	0x7f800001	0	0x7f800001
precision_loss	32	8	0x3f800001	0	0x3f800001	0	0x3f800001
exp_too_large	32	8	0x7f000000	0	0x7f000000	0	0x7f000000
exp_too_small	32	8	0x00800000	0	0x00800000	0	0x00800000
f32_min_subnormal	32	8	0x00000001	0	0x00000001	0	0x00000001
f32_max_finite	32	8	0x7f7fffff	0	0x7f7fffff	0	0x7f7fffff
pi	32	8	0x40490fdb	0	0x40490fdb	0	0x40490fdb
f16_repr_pi	32	8	0x40480000	0	0x40480000	0	0x40480000
zero	16	5	0x00000000	0	0x00000000	0	0x00000000
neg_zero	16	5	0x80000000	0	0x00008000	0	0x80000000
one	16	5	0x3f800000	0	0x00003c00	0	0x3f800000
neg_one	16	5	0xbf800000	0	0x0000bc00	0	0xbf800000
two	16	5	0x40000000	0	0x00004000	0	0x40000000
half	16	5	0x3f000000	0	0x00003800	0	0x3f000000
f16_max_65504	16	5	0x477fe000	0	0x00007bff	0	0x477fe000
f16_min_normal	16	5	0x38800000	0	0x00000400	0	0x38800000
f16_max_subnormal	16	5	0x387fc000	0	0x000003ff	0	0x387fc000
f16_min_subnormal	16	5	0x33800000	0	0x00000001	0	0x33800000
f16_subnormal_mid	16	5	0x35000000	0	0x00000008	0	0x35000000
inf	16	5	0x7f800000	0	0x00007c00	0	0x7f800000
neg_inf	16	5	0xff800000	0	0x0000fc00	0	0xff800000
nan_quiet	16	5	0x7fc00000	0	0x00007e00	0	0x7fc00000
nan_payload	16	5	0x7f800001	0	0x00007c00	0	0x7f800000
precision_loss	16	5	0x3f800001	1	-	-	-
exp_too_large	16	5	0x7f000000	2	-	-	-
exp_too_small	16	5	0x00800000	3	-	-	-
f32_min_subnormal	16	5	0x00000001	3	-	-	-
f32_max_finite	16	5	0x7f7fffff	2	-	-	-
pi	16	5	0x40490fdb	1	-	-	-
f16_repr_pi	16	5	0x40480000	0	0x00004240	0	0x40480000
zero	24	8	0x00000000	0	0x00000000	0	0x00000000
neg_zero	24	8	0x80000000	0	0x00800000	0	0x80000000
one	24	8	0x3f800000	0	0x003f8000	0	0x3f800000
neg_one	24	8	0xbf800000	0	0x00bf8000	0	0xbf800000
two	24	8	0x40000000	0	0x00400000	0	0x40000000
half	24	8	0x3f000000	0	0x003f0000	0	0x3f000000
f16_max_65504	24	8	0x477fe000	0	0x00477fe0	0	0x477fe000
f16_min_normal	24	8	0x38800000	0	0x00388000	0	0x38800000
f16_max_subnormal	24	8	0x387fc000	0	0x00387fc0	0	0x387fc000
f16_min_subnormal	24	8	0x33800000	0	0x00338000	0	0x33800000
f16_subnormal_mid	24	8	0x35000000	0	0x00350000	0	0x35000000
inf	24	8	0x7f800000	0	0x007f8000	0	0x7f800000
neg_inf	24	8	0xff800000	0	0x00ff8000	0	0xff800000
nan_quiet	24	8	0x7fc00000	0	0x007fc000	0	0x7fc00000
nan_payload	24	8	0x7f800001	0	0x007f8000	0	0x7f800000
precision_loss	24	8	0x3f800001	1	-	-	-
exp_too_large	24	8	0x7f000000	0	0x007f0000	0	0x7f000000
exp_too_small	24	8	0x00800000	0	0x00008000	0	0x00800000
f32_min_subnormal	24	8	0x00000001	0	0x00004000	0	0x00400000
f32_max_finite	24	8	0x7f7fffff	1	-	-	-
pi	24	8	0x40490fdb	1	-	-	-
f16_repr_pi	24	8	0x40480000	0	0x00404800	0	0x40480000
zero	16	8	0x00000000	0	0x00000000	0	0x00000000
neg_zero	16	8	0x80000000	0	0x00008000	0	0x80000000
one	16	8	0x3f800000	0	0x00003f80	0	0x3f800000
neg_one	16	8	0xbf800000	0	0x0000bf80	0	0xbf800000
two	16	8	0x40000000	0	0x00004000	0	0x40000000
half	16	8	0x3f000000	0	0x00003f00	0	0x3f000000
f16_max_65504	16	8	0x477fe000	1	-	-	-
f16_min_normal	16	8	0x38800000	0	0x00003880	0	0x38800000
f16_max_subnormal	16	8	0x387fc000	1	-	-	-
f16_min_subnormal	16	8	0x33800000	0	0x00003380	0	0x33800000
f16_subnormal_mid	16	8	0x35000000	0	0x00003500	0	0x35000000
inf	16	8	0x7f800000	0	0x00007f80	0	0x7f800000
neg_inf	16	8	0xff800000	0	0x0000ff80	0	0xff800000
nan_quiet	16	8	0x7fc00000	0	0x00007fc0	0	0x7fc00000
nan_payload	16	8	0x7f800001	0	0x00007f80	0	0x7f800000
precision_loss	16	8	0x3f800001	1	-	-	-
exp_too_large	16	8	0x7f000000	0	0x00007f00	0	0x7f000000
exp_too_small	16	8	0x00800000	0	0x00000080	0	0x00800000
f32_min_subnormal	16	8	0x00000001	0	0x00000040	0	0x00400000
f32_max_finite	16	8	0x7f7fffff	1	-	-	-
pi	16	8	0x40490fdb	1	-	-	-
f16_repr_pi	16	8	0x40480000	0	0x00004048	0	0x40480000
