# libjxl v0.12.0 a7a9c78; width:height:mode:compact	cost
1:1:0:0	27.000000
1:1:0:1	27.000000
1:1:1:0	28.000000
1:1:1:1	28.000000
1:1:2:0	22.000000
1:1:2:1	22.000000
1:1:3:0	28.000000
1:1:3:1	28.000000
1:1:4:0	32.000000
1:1:4:1	32.000000
1:1:5:0	48.000000
1:1:5:1	48.000000
3:5:0:0	103.000000
3:5:0:1	127.000000
3:5:1:0	90.000000
3:5:1:1	53.000000
3:5:2:0	68.000000
3:5:2:1	49.000000
3:5:3:0	37.000000
3:5:3:1	40.000000
3:5:4:0	232.000000
3:5:4:1	252.000000
3:5:5:0	482.000000
3:5:5:1	491.000000
15:17:0:0	2048.000000
15:17:0:1	2102.000000
15:17:1:0	1080.000000
15:17:1:1	418.000000
15:17:2:0	916.000000
15:17:2:1	190.000000
15:17:3:0	154.000000
15:17:3:1	156.000000
15:17:4:0	4206.000000
15:17:4:1	3306.000000
15:17:5:0	8140.000000
15:17:5:1	8851.000000
16:16:0:0	2083.000000
16:16:0:1	2179.000000
16:16:1:0	1082.000000
16:16:1:1	420.000000
16:16:2:0	917.000000
16:16:2:1	187.000000
16:16:3:0	160.000000
16:16:3:1	162.000000
16:16:4:0	4241.000000
16:16:4:1	3383.000000
16:16:5:0	8176.000000
16:16:5:1	8817.000000
17:19:0:0	2660.000000
17:19:0:1	2731.000000
17:19:1:0	1352.000000
17:19:1:1	519.000000
17:19:2:0	1161.000000
17:19:2:1	226.000000
17:19:3:0	196.000000
17:19:3:1	203.000000
17:19:4:0	5360.000000
17:19:4:1	4126.000000
17:19:5:0	10301.000000
17:19:5:1	11147.000000
64:32:0:0	17687.000000
64:32:0:1	17696.000000
64:32:1:0	8214.000000
64:32:1:1	3097.000000
64:32:2:0	7227.000000
64:32:2:1	1009.000000
64:32:3:0	1029.000000
64:32:3:1	1033.000000
64:32:4:0	34164.000000
64:32:4:1	19494.000000
64:32:5:0	65486.000000
64:32:5:1	71822.000000
129:73:0:0	81850.000000
129:73:0:1	81859.000000
129:73:1:0	37693.000000
129:73:1:1	14155.000000
129:73:2:0	33162.000000
129:73:2:1	4376.000000
129:73:3:0	4561.000000
129:73:3:1	4574.000000
129:73:4:0	157007.000000
129:73:4:1	83657.000000
129:73:5:0	301289.000000
129:73:5:1	331241.000000
256:256:0:0	570531.000000
256:256:0:1	570541.000000
256:256:1:0	262238.000000
256:256:1:1	98345.000000
256:256:2:0	230632.000000
256:256:2:1	29982.000000
256:256:3:0	31498.000000
256:256:3:1	31492.000000
256:256:4:0	1092002.000000
256:256:4:1	572339.000000
256:256:5:0	2097088.000000
256:256:5:1	2305060.000000
